X,Y,OBJECTID,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,POSTAL_CODE,LATITUDE83,LONGITUDE83,HUC8_CODE,ACCURACY_VALUE,COLLECT_MTH_DESC,REF_POINT_DESC,CREATE_DATE,UPDATE_DATE,LAST_REPORTED_DATE,FAC_URL,PGM_SYS_ID,PGM_SYS_ACRNM,INTEREST_TYPE,PROGRAM_URL,PGM_REPORT_URL,PUBLIC_IND,ACTIVE_STATUS,FEDERAL_AGENCY_NAME,HUC_12,FEDERAL_LAND_IND,FED_FACILITY_CODE,EPA_REGION_CODE,KEY_FIELD
-88.811117122,37.1201450140001,11,110060257671,US DOE PADUCAH SITE,5600 HOBBS RD,KEVIL,MCCRACKEN,21145,KY,42053,37.120138,-88.811111,05140206,,,,2002/02/28 17:43:04+00,2015/12/11 00:04:50+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110060257671,KY8890008982,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,Y,04,SEMSKY8890008982
-82.246603734,34.785006563,12,110009321778,GOLDEN STRIP SEPTIC TANK SERVICE,ROUTE 1 ADAMS MILL RD,SIMPSONVILLE,GREENVILLE,45045,SC,29681,34.785,-82.2466,03050108,,,,2002/03/01 00:02:26+00,2015/12/11 00:05:01+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009321778,SCD980799456,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,04,SEMSSCD980799456
-73.24611163,40.8132024760001,13,110012201606,COMPUTER CIRCUITS,145 MARCUS BOULEVARD,HAUPPAUGE,SUFFOLK,36103,NY,11788-3760,40.813194,-73.24611,02030201,,,,2002/02/28 19:51:21+00,2015/12/11 00:04:42+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110012201606,NYD125499673,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,02,SEMSNYD125499673
-92.612242669,30.160608503,14,110007306986,SBA SHIPYARD,9040 CASTEX LANDING RD,JENNINGS,JEFFERSON DAVIS,22053,LA,70546,30.160603,-92.612236,08080202,,,,2015/12/11 00:00:00+00,2017/05/26 13:34:38+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110007306986,LAD008434185,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,06,SEMSLAD008434185
-90.352907094,45.1456081050001,15,110005435500,SCRAP PROCESSING INC,510 W ALLMAN ST,MEDFORD,TAYLOR,55119,WI,544511131,45.1456,-90.3529,07040007,,,,2002/01/28 21:10:40+00,2020/10/29 21:16:25+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005435500,WID046536785,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,05,SEMSWID046536785
-73.4253016,40.715808571,16,110009303164,PREFERRED PLATING CORP.,32 ALLEN BOULEVARD,FARMINGDALE,NASSAU,36059,NY,11735-5625,40.7158,-73.4253,02030202,,,,2002/02/28 19:58:04+00,2015/12/11 00:00:52+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009303164,NYD980768774,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,02,SEMSNYD980768774
-81.090003681,40.74500836,17,110000390611,"TRW, INC. (MINERVA PLANT)",3860 UNION AVE. S.E.,MINERVA,STARK,39151,OH,44657-8944,40.745,-81.09,05040001,,,,2002/02/28 23:43:12+00,2015/12/11 00:05:10+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000390611,OHD004179339,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,05,SEMSOHD004179339
-78.702502727,42.9438971390001,18,110060801119,PFOHL BROTHERS LANDFILL,PFOHL RD,CHEEKTOWAGA,ERIE,36029,NY,14225,42.943889,-78.7025,04120104,,,,2002/03/01 00:43:46+00,2015/12/11 00:04:31+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110060801119,NYD980507495,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,02,SEMSNYD980507495
-79.912403116,40.270508024,19,110009307561,RESIN DISPOSAL,TOP OF STILLEY AVENUE,JEFFERSON HILLS,ALLEGHENY,42003,PA,15025,40.2705,-79.9124,05020005,,,,2002/02/28 20:50:31+00,2015/12/11 00:01:03+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009307561,PAD063766828,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,03,SEMSPAD063766828
-89.9450059169999,35.1151204610001,20,110004982662,CUSTOM CLEANERS INC,3517 SOUTHERN,MEMPHIS,SHELBY,47157,TN,38111,35.115114,-89.945,08010211,,,,2017/05/26 00:00:00+00,2017/11/08 15:25:38+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110004982662,TNN000402275,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSTNN000402275
-74.214901171,40.0106077200001,21,110006818060,REICH FARMS,1579 LAKEWOOD ROAD ROUTE 9,TOMS RIVER,OCEAN,34029,NJ,08753,40.0106,-74.2149,02040301,,,,2002/02/28 19:30:17+00,2015/12/11 00:00:30+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006818060,NJD980529713,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,02,SEMSNJD980529713
